Gen	Col	A	B	NumActs1	NumActs2	WorkAlloc1	WorkAlloc2	Idle	Fitness	Mean_F	Mean_F_franjo
2	53	0.5	0.5	3979	4201	38.6078	44.5294		0	2070.89	0.0388515	0.519426
2	54	0.5	0.5	4016	4127	41.3725	41.3333		0	2069	0.098377	0.549189
2	55	0.5	0.5	3841	4329	37.6667	45.7255		0	2075.45	0.0616316	0.530816
2	56	0.5	0.5	4134	4084	42.8235	41.0196		0	2095.13	0.0855824	0.542791
2	57	0.5	0.5	4070	4035	42.5098	40.7647		0	2083.94	0.0501876	0.525094
2	58	0.5	0.5	4239	3974	45.902	37.8431		0	2081.63	0.0420908	0.521045
2	59	0.5	0.5	3988	4131	39.6471	43.4118		0	2073.73	0.0652739	0.532637
2	60	0.5	0.5	3882	4279	39.0196	44.6471		0	2087.7	-0.00874198	0.495629
2	61	0.5	0.5	4294	3921	42.6863	40.7647		0	2085.51	0.0634885	0.531744
2	62	0.5	0.5	4122	4062	43.3137	40.1373		0	2084.58	0.0782983	0.539149
2	63	0.5	0.5	4318	3900	41.5882	41.6863		0	2082.5	0.0303928	0.515196
2	64	0.5	0.5	4096	4091	41.7647	42.2353		0	2100.44	0.0358618	0.517931
2	65	0.5	0.5	4128	4082	42.0196	40.9608		0	2074.72	0.0426531	0.521327
2	66	0.5	0.5	4066	4078	45	38.3529		0	2078.06	0.0548019	0.527401
2	67	0.5	0.5	4230	3877	40.902	42		0	2073.29	0.0592222	0.529611
2	68	0.5	0.5	3757	4372	38.3922	45.3333		0	2085.42	0.0787213	0.539361
2	69	0.5	0.5	4131	3989	42.1569	41.1961		0	2082.89	0.0421486	0.521074
2	70	0.5	0.5	4017	4131	40.3333	42.451		0	2074.81	0.00961888	0.504809
2	71	0.5	0.5	3944	4264	42.2157	40.9216		0	2074.63	0.074868	0.537434
2	72	0.5	0.5	3960	4287	39.4706	44.3725		0	2091.67	0.0955873	0.547794
2	73	0.5	0.5	4247	3937	43.5294	39.4118		0	2073.77	0.0562932	0.528147
2	74	0.5	0.5	3849	4335	38.2157	45.5098		0	2083.53	0.0829906	0.541495
